Name,Category,Description,Price
2 Fries (R),McSaver Combos,"World Famous Fries, crispy golden, fried to perfection and lightly salted. Double the goodness with this combo.",112.38
2 McVeggie Burger,McSaver Combos,"A delectable patty filled with potatoes, peas, carrots and tasty Indian spices. Topped with crispy lettuce, mayonnaise, and packed into toasted sesame buns makes our iconic McVeggie. Double it up with this combo!",249.52
Grilled Chicken & Cheese Burger + Coke,McSaver Combos,Flat 15% Off on Grilled Chicken & Cheese Burger + Coke,216.19
McAloo Tikki + Veg Pizza McPuff + Fries (R),McSaver Combos,Flat 15% Off on McAloo Tikki + Veg Pizza McPuff + Fries (R),159.05
McVeggie Burger + Fries (M) + Piri Piri Mix,McSaver Combos,Flat 15% Off on McVeggie Burger + Fries (M) + Piri Piri Mix,232.38
McVeggie Burger + Veg Pizza McPuff + Fries (L),McSaver Combos,Flat 15% Off on McVeggie Burger + Veg Pizza McPuff + Fries (L),266.67
Chicken McNuggets 6 Pc + Fries (M) + Piri Piri Spice Mix,McSaver Combos,The best Non veg sides combo curated for you! Get 6 pc Chicken McNuggets + Fries M. Top it up with Piri Piri mix.,247.62
McAloo Tikki Burger + Veg Pizza McPuff + Piri Piri Spice Mix,McSaver Combos,Get India's favourite burger - McAloo Tikki along with Veg Pizza McPuff and spice it up with a Piri Piri Mix,127.62
Grilled Chicken & Cheese Burger + Veg Pizza McPuff,McSaver Combos,"A delicious Grilled Chicken & Cheese Burger + a crispy brown, delicious Pizza McPuff",175.24
Corn & Cheese Burger + Veg Pizza McPuff,McSaver Combos,"A delicious Corn & Cheese Burger + a crispy brown, delicious Pizza McPuff",175.24
Corn & Cheese Burger + Fries (R),McSaver Combos,"A delicious Corn & Cheese Burger + a side of crispy, golden, world famous fries ??",180.0
Corn & Cheese Burger + Coke,McSaver Combos,Flat 15% Off on Corn & Cheese Burger + Coke,225.72
2 McFlurry Oreo (S),McSaver Combos,"Delicious soft serve meets crumbled oreo cookies, a match made in dessert heaven. Make it double with this combo!",155.24
2 Soft Serve Hot Fudge (M),McSaver Combos,"A sinful delight, soft serve topped with delicious, gooey hot chocolate fudge. So good you won't be able to stop at one!",155.24
Veg Nuggets 9 pc + Fries (M),McSaver Combos,The best Veg sides combo curated for you! Get 9 Pc Veg Nuggets + Fries M. Top it up with Piri Piri Mix.,256.19
Corn and Cheese Burger 	+ Coke + Fries (M) 	+ Veg Pizza McPuff,McSaver Combos,Treat yourself today with these exclusive Coke combos. Huge discounts on your favourite meals. Get a Corn and Cheese Burger + Coke + Fries (M) + Veg Pizza McPuff today!,353.33
McSpicy Chicken + Fries (M) + Piri Piri Spice Mix,McSaver Combos,"Tender and juicy chicken patty coated in spicy, crispy batter topped with a creamy sauce and crispy shredded lettuce will have you craving for more. Served with the spicy piri piri mix and medium fries.",264.76
McSpicy Chicken + Mexican Cheese Fries,McSaver Combos,"Tender and juicy chicken patty coated in spicy, crispy batter topped with a creamy sauce and crispy shredded lettuce will have you craving for more. Served with Mexican Cheese Fries.",250.48
McSpicy Paneer + Fries (M) + Piri Piri Spice Mix,McSaver Combos,"Rich and filling cottage cheese patty coated in spicy, crispy batter topped with a creamy sauce and crispy shredded lettuce will have you craving for more. Served with the spicy piri piri mix and medium fries.",250.48
McSpicy Paneer + Mexican Cheese Fries,McSaver Combos,"Rich and filling cottage cheese patty coated in spicy, crispy batter topped with a creamy sauce and crispy shredded lettuce will have you craving for more. Served with Mexican Cheese Fries.",250.48
Black Forest Mcflurry (M) BOGO,McSaver Combos,Get 2 Black Forest McFlurry for the price of one!,115.24
